,BTC_close,BTC_high,BTC_low,BTC_open,BTC_time,BTC_volumefrom,BTC_volumeto,timestamp,ETH_close,ETH_high,ETH_low,ETH_open,ETH_time,ETH_volumefrom,ETH_volumeto,BCH_close,BCH_high,BCH_low,BCH_open,BCH_time,BCH_volumefrom,BCH_volumeto,LTC_close,LTC_high,LTC_low,LTC_open,LTC_time,LTC_volumefrom,LTC_volumeto
0,9783.4,9783.47,9723.09,9762.61,1525482000,3893.62,37983283.59,2018-05-04 21:00:00,795.39,795.39,788.32,793.5,1525482000,14423.27,11402222.08,1526.33,1527.66,1516.87,1521.95,1525482000,2369.67,3613245.18,169.39,169.95,168.49,169.95,1525482000,19170.58,3244073.34
1,9824.53,9867.73,9783.23,9783.4,1525485600,5273.09,51867331.87,2018-05-04 22:00:00,800.2,801.72,795.25,795.25,1525485600,21025.19,16799245.75,1531.22,1536.15,1521.83,1526.33,1525485600,3529.33,5397353.43,170.7,171.07,169.37,169.37,1525485600,30185.65,5145736.26
2,9820.73,9836.45,9793.21,9822.89,1525489200,2118.59,20801744.67,2018-05-04 23:00:00,803.4,804.05,797.64,800.2,1525489200,14987.58,12010586.01,1553.94,1555.7,1527.34,1531.23,1525489200,4107.71,6346846.12,172.83,172.83,170.17,170.69,1525489200,33805.08,5806301.71
3,9837.19,9870.01,9813.24,9821.43,1525492800,2838.6,27974324.16,2018-05-05 00:00:00,811.08,814.95,803.34,803.34,1525492800,31987.4,25922158.98,1584.93,1601.25,1552.33,1553.81,1525492800,12760.67,20008835.07,171.32,173.0,171.09,172.83,1525492800,29606.42,5095722.46
4,9819.35,9842.8,9794.72,9837.19,1525496400,1759.79,17337141.99,2018-05-05 01:00:00,809.06,812.05,805.34,810.87,1525496400,13997.23,11311970.86,1598.1,1621.61,1579.5,1584.93,1525496400,8948.94,14333762.69,170.98,171.41,170.09,171.32,1525496400,16842.4,2872537.51
5,9780.0,9820.35,9778.93,9818.89,1525500000,1511.02,14875350.45,2018-05-05 02:00:00,801.33,809.39,801.32,809.05,1525500000,11832.74,9534345.17,1591.7,1619.19,1588.48,1598.1,1525500000,3562.34,5715863.08,169.55,171.18,169.23,170.98,1525500000,15510.43,2640489.83
6,9794.01,9805.17,9775.09,9780.42,1525503600,1483.16,14487474.6,2018-05-05 03:00:00,805.54,807.03,801.18,801.42,1525503600,7322.85,5889363.67,1604.37,1616.37,1590.85,1591.67,1525503600,2621.75,4213320.4,169.85,170.04,169.47,169.55,1525503600,7017.64,1190735.74
7,9822.7,9858.28,9787.38,9794.61,1525507200,1933.44,19050768.06,2018-05-05 04:00:00,809.58,811.0,804.43,805.55,1525507200,8289.61,6700574.32,1613.21,1619.0,1596.6,1604.37,1525507200,3358.11,5407305.9,171.98,172.23,169.76,169.85,1525507200,14492.35,2481331.27
8,9837.32,9855.12,9821.95,9822.72,1525510800,1528.88,15083421.79,2018-05-05 05:00:00,808.27,810.38,807.73,809.58,1525510800,6356.29,5138850.21,1652.32,1656.09,1611.2,1613.17,1525510800,5667.06,9270368.91,171.94,172.44,171.7,172.0,1525510800,9355.81,1611153.15
9,9919.83,9941.19,9836.67,9837.32,1525514400,5137.95,51034422.14,2018-05-05 06:00:00,816.02,820.11,808.27,808.5,1525514400,21334.59,17385989.66,1667.37,1684.69,1650.85,1652.32,1525514400,8716.19,14558082.92,173.3,174.07,171.79,171.94,1525514400,30391.81,5277898.0
10,9870.7,9925.16,9848.25,9919.83,1525518000,3658.66,36248452.28,2018-05-05 07:00:00,813.98,816.53,808.77,815.96,1525518000,12995.88,10556898.03,1663.41,1675.03,1643.65,1668.4,1525518000,6167.17,10235282.01,172.23,173.59,171.75,173.3,1525518000,16021.53,2766461.13
11,9925.88,9946.21,9870.39,9870.39,1525521600,4422.66,43900346.39,2018-05-05 08:00:00,820.76,822.99,813.98,814.06,1525521600,16805.43,13777148.9,1718.73,1726.3,1655.32,1663.34,1525521600,8271.5,14025534.99,173.72,173.93,172.23,172.25,1525521600,18875.23,3268328.93
12,9885.76,9968.85,9884.2,9926.37,1525525200,5259.84,52358080.32,2018-05-05 09:00:00,815.34,827.44,815.14,820.83,1525525200,24611.31,20287472.31,1682.37,1726.49,1679.88,1718.73,1525525200,9992.16,17051492.79,175.4,178.06,173.69,173.72,1525525200,52162.86,9170544.79
13,9940.64,9946.6,9884.97,9885.76,1525528800,3190.51,31744287.83,2018-05-05 10:00:00,823.37,824.69,815.2,815.2,1525528800,15185.32,12473452.87,1712.65,1713.53,1682.3,1682.3,1525528800,4269.03,7256099.99,181.56,182.99,175.34,175.4,1525528800,83234.47,14988093.49
14,9903.08,9957.21,9898.66,9940.64,1525532400,2801.97,27884124.76,2018-05-05 11:00:00,817.83,825.56,817.61,823.37,1525532400,13111.42,10765621.96,1683.35,1714.89,1683.04,1712.65,1525532400,4842.39,8222876.93,179.05,181.85,179.05,181.57,1525532400,53235.92,9612651.1
15,9903.78,9916.36,9864.39,9915.69,1525536000,2708.77,26888762.27,2018-05-05 12:00:00,819.69,819.72,810.33,818.2,1525536000,17853.3,14568150.96,1690.25,1697.35,1667.5,1683.26,1525536000,4845.77,8140824.94,179.49,180.01,176.95,179.05,1525536000,50294.73,8970236.27
16,9874.17,9927.89,9874.17,9903.67,1525539600,2339.9,23259345.76,2018-05-05 13:00:00,807.8,821.07,807.3,819.69,1525539600,20578.42,16733400.98,1682.28,1702.1,1679.69,1689.75,1525539600,3099.03,5244805.54,179.02,181.22,178.87,179.48,1525539600,23948.26,4311307.69
17,9861.56,9881.02,9817.83,9874.92,1525543200,3124.86,30786888.43,2018-05-05 14:00:00,810.11,810.77,803.02,807.8,1525543200,21946.5,17716671.14,1677.19,1689.31,1672.47,1682.34,1525543200,3321.32,5575386.53,179.26,179.53,178.34,178.97,1525543200,20886.34,3734389.34
18,9858.08,9871.43,9856.73,9861.45,1525546800,1159.65,11459128.09,2018-05-05 15:00:00,810.2,811.75,809.54,810.11,1525546800,7278.87,5895656.12,1674.35,1678.63,1666.9,1677.19,1525546800,2095.35,3503968.32,179.76,181.15,178.76,179.27,1525546800,30434.8,5481813.87
19,9757.98,9861.23,9742.8,9858.12,1525550400,4168.2,40961718.25,2018-05-05 16:00:00,802.32,810.4,802.01,810.25,1525550400,24054.03,19367911.04,1677.07,1681.8,1663.16,1674.45,1525550400,3079.98,5155031.59,175.86,180.16,175.74,179.76,1525550400,42481.06,7528634.52
20,9788.91,9795.35,9721.1,9759.43,1525554000,2749.75,26913127.43,2018-05-05 17:00:00,805.28,805.41,797.04,802.37,1525554000,17937.53,14362062.91,1709.08,1711.88,1670.95,1677.07,1525554000,4157.22,7036848.83,177.12,177.52,173.53,175.86,1525554000,41353.91,7247694.92
21,9828.57,9850.87,9771.89,9788.91,1525557600,1630.3,16035226.95,2018-05-05 18:00:00,810.58,817.32,804.37,805.4,1525557600,21091.05,17104017.91,1717.65,1729.5,1707.55,1708.81,1525557600,4781.08,8222557.95,177.92,178.73,176.51,177.2,1525557600,15165.42,2694431.37
22,9845.9,9861.37,9812.91,9826.71,1525561200,1716.41,16913462.02,2018-05-05 19:00:00,816.58,816.77,810.53,810.58,1525561200,9056.04,7375995.08,1758.59,1758.59,1716.46,1717.67,1525561200,5921.31,10281950.84,178.16,178.87,176.71,177.92,1525561200,14594.78,2594870.52
23,9928.39,9930.16,9831.2,9846.44,1525564800,2662.65,26389962.04,2018-05-05 20:00:00,826.33,826.35,815.72,816.59,1525564800,13601.03,11165251.37,1779.58,1787.7,1749.3,1758.59,1525564800,8288.53,14689609.32,180.72,183.07,177.74,178.16,1525564800,61805.84,11207951.22
24,9918.82,9936.96,9891.5,9928.33,1525568400,2318.56,23025488.34,2018-05-05 21:00:00,833.51,833.64,826.26,826.29,1525568400,26063.67,21624585.25,1829.25,1843.66,1760.57,1779.58,1525568400,14409.76,26039680.87,181.03,181.63,179.62,180.75,1525568400,20720.13,3742529.78
25,9857.57,9918.65,9844.8,9914.84,1525572000,2094.36,20726391.03,2018-05-05 22:00:00,829.48,834.3,826.99,833.58,1525572000,18946.06,15761906.44,1786.58,1835.53,1785.69,1829.25,1525572000,9355.05,16905836.68,178.84,181.12,178.43,181.03,1525572000,18264.8,3279337.6
26,9871.33,9885.89,9856.61,9857.57,1525575600,1423.46,14113857.72,2018-05-05 23:00:00,823.78,831.99,823.77,829.48,1525575600,10694.71,8849088.26,1774.51,1803.25,1755.43,1786.59,1525575600,6137.86,10936156.24,178.96,180.43,178.6,178.78,1525575600,16583.39,2980570.92
27,9841.39,9896.69,9840.14,9871.33,1525579200,1139.58,11279901.4,2018-05-06 00:00:00,815.29,825.93,815.0,823.96,1525579200,11079.37,9100092.83,1756.0,1799.0,1750.79,1774.57,1525579200,5108.48,9070218.26,179.07,180.24,178.93,178.98,1525579200,13145.4,2362411.8
28,9743.34,9841.49,9743.2,9841.49,1525582800,3981.59,39069541.47,2018-05-06 01:00:00,802.62,816.67,801.91,815.3,1525582800,25447.46,20580538.74,1717.98,1762.77,1717.49,1756.0,1525582800,8508.81,14819535.37,174.23,179.17,174.1,179.07,1525582800,41074.63,7245208.24
29,9680.74,9744.23,9598.1,9744.23,1525586400,7512.88,72907951.58,2018-05-06 02:00:00,794.29,802.62,777.01,802.32,1525586400,71285.02,56131914.73,1730.43,1738.95,1679.1,1718.93,1525586400,13959.2,23828385.94,172.91,174.23,168.63,174.17,1525586400,82855.68,14196672.81
30,9705.55,9705.57,9654.34,9682.89,1525590000,1739.64,16915521.74,2018-05-06 03:00:00,796.15,801.18,789.94,794.29,1525590000,19479.02,15483279.08,1766.67,1766.89,1711.52,1730.81,1525590000,4733.61,8253263.46,173.7,173.73,171.03,172.91,1525590000,18047.12,3119429.73
31,9588.73,9707.34,9547.17,9705.55,1525593600,5141.44,49535341.43,2018-05-06 04:00:00,775.79,796.15,773.61,796.15,1525593600,31928.43,24882219.24,1731.58,1775.8,1711.41,1766.66,1525593600,8515.1,14810566.76,170.2,173.74,169.09,173.7,1525593600,20913.64,3575517.71
32,9573.03,9601.16,9534.84,9588.17,1525597200,3421.53,32820617.89,2018-05-06 05:00:00,778.79,781.58,770.64,775.65,1525597200,32718.16,25322942.41,1723.65,1736.1,1708.49,1733.18,1525597200,3387.97,5844119.83,169.92,171.31,169.51,170.16,1525597200,17213.12,2930314.94
