,close,high,low,open,time,volumefrom,volumeto,timestamp
0,9349.58,9364.97,9338.47,9340.28,1525924800,1138.63,10775828.36,2018-05-10 00:00:00
1,9305.56,9363.31,9305.56,9349.58,1525928400,1318.18,12349480.75,2018-05-10 01:00:00
2,9290.38,9338.64,9276.86,9306.1,1525932000,1980.8,18504555.48,2018-05-10 02:00:00
3,9372.26,9391.83,9288.59,9290.38,1525935600,2801.49,26252381.16,2018-05-10 03:00:00
4,9356.86,9388.38,9349.97,9372.26,1525939200,2281.51,21440848.68,2018-05-10 04:00:00
5,9346.06,9358.44,9328.06,9356.9,1525942800,1724.31,16184476.68,2018-05-10 05:00:00
6,9380.7,9392.12,9326.85,9346.41,1525946400,1872.12,17617391.06,2018-05-10 06:00:00
7,9339.67,9382.73,9324.75,9380.7,1525950000,1744.7,16366128.84,2018-05-10 07:00:00
8,9352.42,9364.82,9329.35,9340.05,1525953600,1954.1,18330537.39,2018-05-10 08:00:00
9,9382.85,9393.95,9334.62,9352.49,1525957200,3024.03,28409041.52,2018-05-10 09:00:00
10,9336.84,9383.19,9334.64,9382.85,1525960800,3363.45,31493068.17,2018-05-10 10:00:00
11,9342.06,9362.12,9327.98,9336.84,1525964400,2183.57,20438602.71,2018-05-10 11:00:00
12,9364.76,9378.18,9341.5,9341.5,1525968000,2686.91,25245834.9,2018-05-10 12:00:00
13,9169.81,9367.59,9128.63,9364.76,1525971600,11554.83,106510736.1,2018-05-10 13:00:00
14,9145.31,9175.56,9104.14,9169.89,1525975200,5036.66,46081703.41,2018-05-10 14:00:00
15,9102.88,9148.05,9088.47,9145.31,1525978800,2400.16,21927336.4,2018-05-10 15:00:00
16,9111.22,9127.04,9070.53,9102.88,1525982400,3395.1,30955155.38,2018-05-10 16:00:00
17,9119.25,9145.56,9105.57,9111.53,1525986000,1453.25,13366398.59,2018-05-10 17:00:00
18,9114.85,9121.69,9069.73,9119.41,1525989600,2424.05,22189869.6,2018-05-10 18:00:00
19,9032.22,9114.72,9017.13,9113.49,1525993200,5804.55,52644268.53,2018-05-10 19:00:00
20,8954.47,9032.27,8888.15,9032.22,1525996800,11148.05,99790072.99,2018-05-10 20:00:00
21,8944.43,8970.39,8919.38,8954.54,1526000400,2817.84,25322212.63,2018-05-10 21:00:00
22,8917.58,8973.49,8914.73,8944.17,1526004000,2527.52,22709669.24,2018-05-10 22:00:00
23,8940.92,8954.03,8914.32,8917.58,1526007600,1610.37,14499841.55,2018-05-10 23:00:00
24,8952.75,8955.64,8939.69,8940.88,1526011200,308.29,2765601.85,2018-05-11 00:00:00
