,close,high,low,open,time,volumefrom,volumeto,timestamp
0,18.01,18.21,17.88,17.89,1525924800,575448.66,10407606.03,2018-05-10 00:00:00
1,17.89,18.04,17.88,18.01,1525928400,128648.17,2311252.94,2018-05-10 01:00:00
2,17.95,18.06,17.87,17.89,1525932000,95211.25,1709693.68,2018-05-10 02:00:00
3,18.03,18.18,17.94,17.95,1525935600,190096.09,3433291.54,2018-05-10 03:00:00
4,18.03,18.12,17.94,18.03,1525939200,141899.84,2556378.93,2018-05-10 04:00:00
5,17.95,18.07,17.9,18.03,1525942800,222286.49,3993675.9,2018-05-10 05:00:00
6,18.02,18.06,17.88,17.95,1525946400,101609.11,1824693.2,2018-05-10 06:00:00
7,18.0,18.03,17.94,18.02,1525950000,67647.91,1216657.13,2018-05-10 07:00:00
8,18.04,18.04,17.94,18.0,1525953600,136067.15,2449761.72,2018-05-10 08:00:00
9,18.68,18.72,18.01,18.04,1525957200,1188396.3,21973304.79,2018-05-10 09:00:00
10,18.26,18.75,18.26,18.68,1525960800,751202.08,13898590.95,2018-05-10 10:00:00
11,18.48,18.52,18.26,18.26,1525964400,217547.34,4012889.83,2018-05-10 11:00:00
12,18.34,18.5,18.25,18.48,1525968000,163985.08,3007870.63,2018-05-10 12:00:00
13,17.93,18.38,17.67,18.34,1525971600,1231115.47,22082112.89,2018-05-10 13:00:00
14,17.86,17.93,17.68,17.93,1525975200,547443.74,9728382.19,2018-05-10 14:00:00
15,17.59,17.92,17.58,17.86,1525978800,335574.13,5949699.7,2018-05-10 15:00:00
16,17.73,17.8,17.48,17.59,1525982400,253786.43,4471474.79,2018-05-10 16:00:00
17,17.69,17.74,17.66,17.73,1525986000,132176.04,2340600.58,2018-05-10 17:00:00
18,17.66,17.73,17.56,17.69,1525989600,224839.93,3963985.69,2018-05-10 18:00:00
19,17.32,17.68,17.32,17.66,1525993200,389621.98,6802450.22,2018-05-10 19:00:00
20,17.43,17.47,17.02,17.32,1525996800,1010273.02,17398592.82,2018-05-10 20:00:00
21,17.38,17.48,17.31,17.43,1526000400,161937.78,2822097.63,2018-05-10 21:00:00
22,17.35,17.51,17.3,17.38,1526004000,308706.09,5383252.61,2018-05-10 22:00:00
23,17.43,17.5,17.35,17.35,1526007600,116216.95,2027612.55,2018-05-10 23:00:00
24,17.51,17.51,17.41,17.43,1526011200,50472.57,881382.08,2018-05-11 00:00:00
